,Type 1,Legendary,Attack,Defense,Defense
,,,mean,min,max
0,Bug,False,70.97101449275362,30,230
1,Dark,False,86.86206896551724,30,125
2,Dark,True,110.5,90,95
3,Dragon,False,103.4,35,130
4,Dragon,True,126.66666666666667,80,121
5,Electric,False,66.125,15,115
6,Electric,True,98.75,70,85
7,Fairy,False,57.1875,28,95
8,Fairy,True,131.0,95,95
9,Fighting,False,96.77777777777777,30,95
10,Fire,False,82.19148936170212,37,140
11,Fire,True,109.0,85,120
12,Flying,False,50.0,35,80
13,Flying,True,107.5,70,80
14,Ghost,False,71.36666666666666,30,145
15,Ghost,True,110.0,100,120
16,Grass,False,72.11940298507463,30,131
17,Grass,True,97.66666666666667,72,100
18,Ground,False,88.0,25,130
19,Ground,True,150.0,90,160
20,Ice,False,73.22727272727273,15,184
21,Ice,True,67.5,100,100
22,Normal,False,72.08333333333333,5,126
23,Normal,True,140.0,110,120
24,Poison,False,74.67857142857143,35,120
25,Psychic,False,54.95348837209303,15,120
26,Psychic,True,122.14285714285714,20,160
27,Rock,False,89.925,40,168
28,Rock,True,122.25,90,200
29,Steel,False,92.08695652173913,50,230
30,Steel,True,96.25,100,150
31,Water,False,72.77777777777777,20,180
32,Water,True,111.25,90,115
